Category Page Number,NEW,SKU,Style,Description,Color Group,Color Code,Color,Hex Code,Size Group,Size Code,Size,Case Qty,Weight,Mill #,Mill Name,Category,Subcategory,Price,Retail Price,Thumbnail Name,Normal Image Name,Full Feature Description,Brand Page Number
0,NEW,B15724CL0,00111CD,Scout Brief,VINTAGE ARMY,12,CL,,0,0,OS,15,2,25,Alternative Drop Ship,Bags,,7280|0|1;6188|2|12;5260|13|-1,1052,http://www.broderbros.com/images/bro/prodDetail/00111cd_t.jpg,http://www.broderbros.com/images/bro/prodDetail/00111cd_p.jpg,"100% Cotton Canvas Shell with Leather Trim; Unisex design; 15.25"" length x 2.25"" width x 10.5"" height; ",0
310, ,0548502A8,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",LIGHT STEEL,5,47,BFBABA,3,8,3XL,36,.81,30,Hanes,Sport Shirts,,1154|0|1;9610|2|12;7690|13|-1,1538,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548504A3,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",ASH,5,50,D7D7D7,28,3,S,36,.53,30,Hanes,Sport Shirts,,9050|0|1;7540|2|12;6030|13|-1,1206,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548504A4,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",ASH,5,50,D7D7D7,28,4,M,36,.58,30,Hanes,Sport Shirts,,9050|0|1;7540|2|12;6030|13|-1,1206,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548504A5,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",ASH,5,50,D7D7D7,28,5,L,36,.64,30,Hanes,Sport Shirts,,9050|0|1;7540|2|12;6030|13|-1,1206,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548504A6,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",ASH,5,50,D7D7D7,28,6,XL,36,.69,30,Hanes,Sport Shirts,,9050|0|1;7540|2|12;6030|13|-1,1206,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548504A9,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",ASH,5,50,D7D7D7,4,9,4XL,36,.86,30,Hanes,Sport Shirts,,1154|0|1;9610|2|12;7690|13|-1,1538,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548504A8,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",ASH,5,50,D7D7D7,3,8,3XL,36,.81,30,Hanes,Sport Shirts,,1154|0|1;9610|2|12;7690|13|-1,1538,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548504A7,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",ASH,5,50,D7D7D7,1,7,2XL,36,.75,30,Hanes,Sport Shirts,,1154|0|1;9610|2|12;7690|13|-1,1538,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548500A5,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",BLACK,6,51,000000,28,5,L,36,.64,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548500A4,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",BLACK,6,51,000000,28,4,M,36,.58,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548500A3,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",BLACK,6,51,000000,28,3,S,36,.53,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548500A6,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",BLACK,6,51,000000,28,6,XL,36,.69,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548500A9,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",BLACK,6,51,000000,4,9,4XL,36,.86,30,Hanes,Sport Shirts,,1232|0|1;1026|2|12;8210|13|-1,1642,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548500A8,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",BLACK,6,51,000000,3,8,3XL,36,.81,30,Hanes,Sport Shirts,,1232|0|1;1026|2|12;8210|13|-1,1642,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548500A7,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",BLACK,6,51,000000,1,7,2XL,36,.75,30,Hanes,Sport Shirts,,1232|0|1;1026|2|12;8210|13|-1,1642,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
310, ,0548515A3,054P,"5.5 oz., 50/50 EcoSmart� Jersey Pocket Polo",NAVY,6,54,222953,28,3,S,36,.53,30,Hanes,Sport Shirts,,9610|0|1;8010|2|12;6410|13|-1,1282,http://www.broderbros.com/images/bro/prodDetail/054p_t.jpg,http://www.broderbros.com/images/bro/prodDetail/054p_p.jpg,"50% cotton, 50% polyester; Welt-knit collar; Two-button placket with pearlized buttons; Rib knit cuffs; Double-needle stitching on bottom hem; Five-point left-chest pocket; ",289
