SKU,Status,Title,Price,Weight,Company,Style Code,Features,Retail Price,Size,Hex Color,Color,Mill Name,Dimensions,Imprint Area,Item Number,Image,Category
2065800A0|2065815A0|2065845A0|2065887A0|2065899A0,TRUE,Solid - Low Profile Twill Visor ,4.95|0|1;4.13|2|12;3.30|13|-1;,0.19,Broder,0,"100% cotton twill; 3-panel, low-profile; Precurved bill has four-row stitching; Matching-color sweatband; Adjustable Velcro&#174; closure; ",9.9,,,,Anvil,,,2065899A0,http://www.broderbros.com/images/bro/prodDetail/158_00_p.jpg,NEW
BA01615A0|BA01600A0,TRUE,Sport Duffel ,20.21|0|1;16.84|2|12;13.47|13|-1;,2.33,Broder,0,"600-denier polyester; Adjustable webbing shoulder strap; Webbing handles; Large main compartment with U-shaped zippered opening; Zippered end pockets; 17 1/2""W x 10""H x 10""D; ",40.42,,,,BAGedge,,,BA01615A0,http://www.broderbros.com/images/bro/prodDetail/be014_54_p.jpg,NEW
B08050885|B08050883|B08050965|B08050985|B08050975|B08050983|B08050973|B08050963|B08050933|B08050923|B08050AA3|B08050925|B08050AA5|B08050935|B08050535|B08050533,TRUE,Sport Flex 3 - Color Athletic Mesh Cap ,6.64|0|1;5.64|2|12;4.79|13|-1;,0.31,Broder,3,"100% polyester athletic mesh with tricot backing; Unique design allows cap to stretch for a comfortable fit; Six panels; Low profile pro-style crown; Fused buckram-backed front panels; Contrasting color front, back and side panels; Matching sewn eyelets; ",13.28,,,,Augusta Drop Ship,,,B08050533,http://www.broderbros.com/images/bro/prodDetail/6247_53_p.jpg,NEW
B07150285|B07150283|B07150525|B07150665|B07150663|B07150523|B07150623|B07150563|B07150543|B07150545|B07150625|B07150565|B07150595|B07150593|B07150165|B07150435|B07150005|B07150433|B07150003|B07150163|B07150515|B07150513|B07150535|B07150533|B07150445|B07150443,TRUE,Sport Flex Athletic Mesh Cap ,5.26|0|1;4.48|2|12;3.80|13|-1;,0.32,Broder,3,100% polyester athletic mesh with tricot backing; Unique design allows cap to stretch for comfortable fit; Six panels; Low profile pro-style crown; Fused buckram-backed front panels; Matching sewn eyelets; Pre-curved bill with contrast grey undervisor; ,10.52,,,,Augusta Drop Ship,,,B07150003,http://www.broderbros.com/images/bro/prodDetail/6232_p.jpg,NEW
B06150620|B06150700|B06150480|B06150440|B06150520|B06150530|B06150220|B06150560|B06150280|B06150130|B06150510|B06150660|B06150540|B06150000|B06150590|B06150580|B06150430,TRUE,Sport Twill Visor ,4.17|0|1;3.55|2|12;3.01|13|-1;,0.18,Broder,0,100% pre-washed cotton twill; Three panels; Self-fabric sweatband folds down for easy embellishment; Pre-curved bill; Hook and loop fastener; ,8.34,,,,Augusta Drop Ship,,,B06150000,http://www.broderbros.com/images/bro/prodDetail/6225_00_p.jpg,NEW
B02315550|B02315450|B02315540|B02315000|B02315510|B02315100,TRUE,Sport Visor with Mesh ,4.28|0|1;3.56|2|12;2.85|13|-1;,0.14,Broder,0,100% polyester mesh; 3-panel; Adjustable webbing closure strap; Technical buckle closure; ,8.56,,,,Big Accessories,,,B02315000,http://www.broderbros.com/images/bro/prodDetail/bx022_00_p.jpg,NEW
B02115220|B02115180|B02115440|B02115100|B02115540|B02115600,TRUE,Sport Wave Baseball Cap ,4.65|0|1;3.88|2|12;3.10|13|-1;,0.24,Broder,0,100% cotton chino twill; 6-panel; Waved bill insert in contrasting color mesh; Contrasting color top button; Self-fabric two-piece Velcro&#174; closure; ,9.3,,,,Big Accessories,,,B02115180,http://www.broderbros.com/images/bro/prodDetail/swtb_18_p.jpg,NEW
B03146513|B03146512|B03146537|B03146517|B03146516|B03146515|B03146514|B03146535|B03146534|B03146519|B03146518|B03146542|B03146543|B03146532|B03146665|B03146664|B03146667|B03146666|B03146663|B03146662|B03146669|B03146668|B03146536|B03146533|B03146423|B03146422|B03146427|B03146426|B03146425|B03146424|B03146429|B03146428|B03146544|B03146545|B03146546|B03146547|B03146548|B03146549|B03146539|B03146538,TRUE,Stadium Jacket ,32.99|0|1;27.49|2|12;21.99|13|-1;,1.53,Broder,2,100% nylon taffeta with 100% polyfill insulation; Heavy-duty zipper and stand-up zip-through collar; Water-resistant with adjustable Velcro&#174; cuff tabs; Front-zip pockets and inside chest pocket; Adjustable bungee cord at hem with plastic stoppers; Inside mesh personal music device pocket with earphone loops; Sport Grey lining and InconspicuZip&#153; for easy embroidery; ,65.98,XS,1F338A,TRUE ROYAL/SPORT GREY,Harriton,,,B03146532,http://www.broderbros.com/images/bro/prodDetail/m790_53_p.jpg,NEW
B08550532|B08550662|B08550008|B08550622|B08550665|B08550106|B08550664|B08550667|B08550568|B08550545|B08550621|B08550001|B08550536|B08550535|B08550538|B08550518|B08550517|B08550516|B08550515|B08550514|B08550513|B08550512|B08550511|B08550533|B08550103|B08550531|B08550006|B08550628|B08550534|B08550104|B08550625|B08550561|B08550107|B08550101|B08550102|B08550668|B08550005|B08550004|B08550007|B08550537|B08550108|B08550627|B08550003|B08550002|B08550481|B08550483|B08550482|B08550485|B08550484|B08550487|B08550486|B08550544|B08550488|B08550546|B08550547|B08550541|B08550542|B08550543|B08550566|B08550567|B08550564|B08550565|B08550562|B08550563|B08550623|B08550428|B08550427|B08550426|B08550425|B08550424|B08550423|B08550422|B08550421|B08550666|B08550661|B08550624|B08550626|B08550548|B08550105|B08550663,TRUE,Stadium Replica Jersey ,13.35|0|1;11.35|2|12;9.65|13|-1;,0.33,Broder,1,100% polyester tricot mesh ; 100% polyester dazzle fabric yoke and sleeves; 1x1 rib-knit modified V-neck collar; Front and back yoke large enough for embellishment; Set-in sleeves; Outside locker label with size on left side near bottom hem; Double-needle hemmed sleeves and bottom; ,26.7,,,,Augusta Drop Ship,,,B08550001,http://www.broderbros.com/images/bro/prodDetail/257_00_p.jpg,NEW
2090215A0|2090215A3|2090215A5|2090215A4|2090215A7|2090215A6|2090215A9|2090215A8|2090299A8|2090200A7|2090200A6|2090200A5|2090200A4|2090200A3|2090200A0|2090200A9|2090200A8|2090299A5|2090299A4|2090220A0|2090220A3|2090220A5|2090220A4|2090220A7|2090220A6|2090220A9|2090220A8|2090245A8|2090245A9|2090299A9|2090245A3|2090245A0|2090245A6|2090245A7|2090245A4|2090245A5|2090202A9|2090202A8|2090299A7|2090299A6|2090299A0|2090299A3|2090202A0|2090202A3|2090202A5|2090202A4|2090202A7|2090202A6,TRUE,Stain Repel and Release Jersey Polo With Pocket ,9.77|0|1;8.14|2|12;6.51|13|-1;,0.67,Broder,6,"50% heavyweight cotton, 50% polyester jersey; Spill Guard&#153; stain repel and release technology; Clean-finished placket with 1/4"" reinforced placket box; Double-needle stitching on bottom hem; Single-needle stitching on neck, shoulders and armholes; Sideseamed; 2 1/2"" side vents; Five-point left-chest pocket; ",19.54,,,,Anvil,,,2090299A6,http://www.broderbros.com/images/bro/prodDetail/4603_00_p.jpg,NEW
B05940009|B05940008|B05940543|B05940525|B05940000|B05940003|B05940005|B05940004|B05940007|B05940529|B05940520|B05940513|B05940510|B05940517|B05940516|B05940515|B05940514|B05940535|B05940534|B05940519|B05940518|B05940526|B05940533|B05940453|B05940450|B05940456|B05940457|B05940454|B05940455|B05940530|B05940458|B05940459|B05940548|B05940523|B05940537|B05940539|B05940006|B05940538|B05940423|B05940549|B05940420|B05940427|B05940426|B05940425|B05940424|B05940540|B05940527|B05940429|B05940428|B05940544|B05940545|B05940546|B05940547|B05940528|B05940536|B05940524,TRUE,Stain Repel and Release Long - Sleeve Jersey Polo ,12.30|0|1;10.25|2|12;8.20|13|-1;,0.83,Broder,6,"50% heavyweight cotton, 50% polyester jersey; Spill Guard&#153; stain repel and release technology; Clean-finished placket with 1/4"" reinforced placket box; Double-needle stitching on bottom hem; Single-needle stitching on neck, shoulders and armholes; Long-sleeves; sideseamed; 2 1/2"" side vents; Three high-gloss woodtone buttons; ",24.6,,,,Anvil,,,B05940006,http://www.broderbros.com/images/bro/prodDetail/4640_00_p.jpg,NEW
B17424CE5|B17424CE4|B17424524|B17424525|B17424005|B17424004|B17424CE3|B17424303|B17424003|B17424304|B17424305|B17424513|B17424515|B17424045|B17424044|B17424514|B17424043|B17424523,TRUE,Stevie Wrap ,17.53|0|1;14.90|2|12;12.66|13|-1;,0.25,Broder,3,"40's 100% Pima Cotton; Piece dyed, satin garment washed; Women's contemporary fit; ",35.06,,,,Alternative Drop Ship,,,B17424513,http://www.broderbros.com/images/bro/prodDetail/04507p1_51_p.jpg,NEW
B091DE000,TRUE,Straight Tip Scissors ,3.75|0|1;3.75|2|12;3.75|13|-1;,0.04,Broder,0,"Straight tip embroidery scissors; 3.5"" overall length; ",7.5,,,,Decoration Supplies,,,B091DE000,http://www.broderbros.com/images/bro/prodDetail/scstr_00_p.jpg,NEW
B066DE210|B066DE200,TRUE,StretchMaster Cutaway ,35.67|0|1;35.67|2|12;35.67|13|-1;,1.78,Broder,0,Recommended on stretchy fabrics; Reduces puckering on highly details projects; ,71.34,,,,Decoration Supplies,,,B066DE210,http://www.broderbros.com/images/bro/prodDetail/stcut_21_p.jpg,NEW
8502595A0|8502554A0|8502592A0|8502522A0|8502509A0,TRUE,Striped Knit Beanie ,4.64|0|1;3.86|2|12;3.09|13|-1;,0.12,Broder,0,"100% acrylic knit; 8"" length; Thin contrast stripe on bottom; Embroidered ""C"" logo can be worn on back or front of hat; ",9.28,,,,Champion,,,8502595A0,http://www.broderbros.com/images/bro/prodDetail/c6183_00_p.jpg,NEW
B12058428|B12058466|B12058427|b12058429|B12058546|B12058548|B12058549|B12058515|B12058514|B12058467|B12058465|B12058007|B12058102|B12058103|B12058517|B12058516|B12058106|B12058107|B12058104|B12058105|B12058003|B12058002|B12058108|B12058109|B12058519|B12058518|B12058005|B12058008|B12058464|B12058513|B12058006|B12058512|B12058544|B12058009|B12058545|B12058543|B12058004|B12058422|B12058469|B12058468|B12058137|B12058136|B12058135|B12058134|B12058133|B12058132|B12058463|B12058462|B12058542|B12058547|B12058423|B12058426|B12058425|B12058424|B12058139|B12058138,TRUE,Sueded Cotton Jersey Mock Turtleneck ,14.99|0|1;12.49|2|12;9.99|13|-1;,0.78,Broder,2,"Plush 100% Tanguis cotton jersey; Brushed to perfection; Generous fit; Double-needle stitching throughout; Spandex in collar and cuffs; Side vents; Grey Heather is 90% cotton, 10% polyester; ",29.98,,,,Devon & Jones,,,B12058002,http://www.broderbros.com/images/bro/prodDetail/d420_00_p.jpg,NEW
B16324003|B16324002|B16324005|B16324004|B16324007|B16324006|B16324513|B16324512|B16324517|B16324516|B16324515|B16324514|B16324CL6|B16324AF7|B16324CL4|B16324CL5|B16324AF2|B16324AF3|B16324AF6|B16324CL7|B16324AF4|B16324AF5|B16324CL2|B16324CL3,TRUE,Super Destroyed Tee ,19.77|0|1;16.81|2|12;14.29|13|-1;,0.22,Broder,2,40's 100% Cotton Jersey; Garment dyed and washed; Unisex regular fit; ,39.54,,,,Alternative Drop Ship,,,B16324002,http://www.broderbros.com/images/bro/prodDetail/01044c1_00_p.jpg,NEW
